iter	Passed	Remaining
0	2	240
1	4	203
2	5	187
3	7	171
4	8	169
5	10	165
6	12	162
7	15	172
8	16	169
9	18	166
10	20	163
11	21	161
12	23	158
13	25	155
14	26	152
15	28	150
16	32	157
17	33	154
18	35	152
19	37	149
20	38	146
21	40	144
22	42	141
23	44	142
24	46	140
25	48	138
26	50	136
27	52	135
28	54	132
29	55	130
30	57	128
31	60	127
32	61	125
33	63	123
34	65	121
35	67	119
36	68	117
37	70	115
38	72	113
39	74	111
40	77	111
41	77	107
42	79	105
43	81	103
44	82	101
45	84	99
46	86	97
47	88	95
48	90	94
49	92	92
50	94	90
51	95	88
52	97	86
53	99	84
54	100	81
55	101	79
56	104	78
57	105	76
58	107	74
59	109	72
60	111	71
61	112	69
62	114	67
63	116	65
64	118	63
65	121	62
66	123	60
67	125	58
68	126	57
69	128	55
70	130	53
71	132	51
72	136	50
73	138	48
74	140	46
75	142	44
76	144	43
77	145	41
78	147	39
79	150	37
80	151	35
81	153	33
82	155	31
83	157	29
84	158	28
85	160	26
86	162	24
87	165	22
88	167	20
89	169	18
90	170	16
91	172	14
92	174	13
93	175	11
94	177	9
95	180	7
96	182	5
97	184	3
98	185	1
99	187	0
